(.venv) PS C:\Users\ADOLFO\Desktop\MY\MARIO_G> python .\snake_ia.py
pygame 2.6.1 (SDL 2.28.4, Python 3.10.11)
Hello from the pygame community. https://www.pygame.org/contribute.html
Gen 231 | Mejor Score: 14 | Récord: 15
Gen 232 | Mejor Score: 11 | Récord: 15
Gen 233 | Mejor Score: 16 | Récord: 16
Gen 234 | Mejor Score: 17 | Récord: 17
Gen 235 | Mejor Score: 17 | Récord: 17
Gen 236 | Mejor Score: 18 | Récord: 18
Gen 237 | Mejor Score: 17 | Récord: 18
Gen 238 | Mejor Score: 13 | Récord: 18
Gen 239 | Mejor Score: 18 | Récord: 18
Gen 240 | Mejor Score: 16 | Récord: 18
Gen 241 | Mejor Score: 23 | Récord: 23
Gen 242 | Mejor Score: 17 | Récord: 23
Gen 243 | Mejor Score: 19 | Récord: 23
Gen 244 | Mejor Score: 19 | Récord: 23
Gen 245 | Mejor Score: 19 | Récord: 23
Gen 246 | Mejor Score: 19 | Récord: 23
Gen 247 | Mejor Score: 18 | Récord: 23
Gen 248 | Mejor Score: 11 | Récord: 23
Gen 249 | Mejor Score: 20 | Récord: 23
Gen 250 | Mejor Score: 23 | Récord: 23
Gen 251 | Mejor Score: 13 | Récord: 23
Gen 252 | Mejor Score: 17 | Récord: 23
Gen 253 | Mejor Score: 17 | Récord: 23
Gen 254 | Mejor Score: 23 | Récord: 23
Gen 255 | Mejor Score: 16 | Récord: 23
Gen 256 | Mejor Score: 15 | Récord: 23
Gen 257 | Mejor Score: 21 | Récord: 23
Gen 258 | Mejor Score: 15 | Récord: 23
Gen 259 | Mejor Score: 23 | Récord: 23
Gen 260 | Mejor Score: 20 | Récord: 23
Gen 261 | Mejor Score: 20 | Récord: 23
Gen 262 | Mejor Score: 20 | Récord: 23
Gen 263 | Mejor Score: 20 | Récord: 23
Gen 264 | Mejor Score: 21 | Récord: 23
Gen 265 | Mejor Score: 18 | Récord: 23
Gen 266 | Mejor Score: 16 | Récord: 23
Gen 267 | Mejor Score: 23 | Récord: 23
Gen 268 | Mejor Score: 40 | Récord: 40
Gen 269 | Mejor Score: 17 | Récord: 40
Gen 270 | Mejor Score: 22 | Récord: 40
Gen 271 | Mejor Score: 29 | Récord: 40
Gen 272 | Mejor Score: 29 | Récord: 40
Gen 273 | Mejor Score: 25 | Récord: 40
Gen 274 | Mejor Score: 29 | Récord: 40
Gen 275 | Mejor Score: 30 | Récord: 40
Gen 276 | Mejor Score: 30 | Récord: 40
Gen 277 | Mejor Score: 26 | Récord: 40
Gen 278 | Mejor Score: 24 | Récord: 40
Gen 279 | Mejor Score: 30 | Récord: 40
Gen 280 | Mejor Score: 23 | Récord: 40
Gen 281 | Mejor Score: 40 | Récord: 40
Gen 282 | Mejor Score: 36 | Récord: 40
Gen 283 | Mejor Score: 48 | Récord: 48
Gen 284 | Mejor Score: 39 | Récord: 48
Gen 285 | Mejor Score: 36 | Récord: 48
Gen 286 | Mejor Score: 36 | Récord: 48
Gen 287 | Mejor Score: 48 | Récord: 48
Gen 288 | Mejor Score: 40 | Récord: 48
Gen 289 | Mejor Score: 48 | Récord: 48
Gen 290 | Mejor Score: 47 | Récord: 48
Gen 291 | Mejor Score: 49 | Récord: 49
Gen 292 | Mejor Score: 45 | Récord: 49
Gen 293 | Mejor Score: 76 | Récord: 76
Gen 294 | Mejor Score: 66 | Récord: 76
Gen 295 | Mejor Score: 44 | Récord: 76
Gen 296 | Mejor Score: 38 | Récord: 76
Gen 297 | Mejor Score: 64 | Récord: 76
Gen 298 | Mejor Score: 56 | Récord: 76
Gen 299 | Mejor Score: 44 | Récord: 76
Gen 300 | Mejor Score: 66 | Récord: 76
Gen 301 | Mejor Score: 72 | Récord: 76
Gen 302 | Mejor Score: 54 | Récord: 76
Gen 303 | Mejor Score: 53 | Récord: 76
Gen 304 | Mejor Score: 47 | Récord: 76
Gen 305 | Mejor Score: 48 | Récord: 76
Gen 306 | Mejor Score: 42 | Récord: 76
Gen 307 | Mejor Score: 46 | Récord: 76
Gen 308 | Mejor Score: 43 | Récord: 76
Gen 309 | Mejor Score: 44 | Récord: 76
Gen 310 | Mejor Score: 60 | Récord: 76
Gen 311 | Mejor Score: 47 | Récord: 76
Gen 312 | Mejor Score: 44 | Récord: 76
Gen 313 | Mejor Score: 62 | Récord: 76
Gen 314 | Mejor Score: 46 | Récord: 76
Gen 315 | Mejor Score: 42 | Récord: 76
Gen 316 | Mejor Score: 38 | Récord: 76
Gen 317 | Mejor Score: 45 | Récord: 76
Gen 318 | Mejor Score: 52 | Récord: 76
Gen 319 | Mejor Score: 50 | Récord: 76
Gen 320 | Mejor Score: 61 | Récord: 76
Gen 321 | Mejor Score: 56 | Récord: 76
Gen 322 | Mejor Score: 50 | Récord: 76
Gen 323 | Mejor Score: 50 | Récord: 76
Gen 324 | Mejor Score: 55 | Récord: 76
Gen 325 | Mejor Score: 55 | Récord: 76
Gen 326 | Mejor Score: 51 | Récord: 76
Gen 327 | Mejor Score: 62 | Récord: 76
Gen 328 | Mejor Score: 60 | Récord: 76
Gen 329 | Mejor Score: 52 | Récord: 76
Gen 330 | Mejor Score: 62 | Récord: 76
Gen 331 | Mejor Score: 50 | Récord: 76
Gen 332 | Mejor Score: 49 | Récord: 76
Gen 333 | Mejor Score: 45 | Récord: 76
Gen 334 | Mejor Score: 59 | Récord: 76
Gen 335 | Mejor Score: 57 | Récord: 76
Gen 336 | Mejor Score: 65 | Récord: 76
Gen 337 | Mejor Score: 57 | Récord: 76
Gen 338 | Mejor Score: 54 | Récord: 76
Gen 339 | Mejor Score: 62 | Récord: 76
Gen 340 | Mejor Score: 50 | Récord: 76
Gen 341 | Mejor Score: 74 | Récord: 76
Gen 342 | Mejor Score: 58 | Récord: 76
Gen 343 | Mejor Score: 64 | Récord: 76
Gen 344 | Mejor Score: 69 | Récord: 76
Gen 345 | Mejor Score: 74 | Récord: 76
Gen 346 | Mejor Score: 68 | Récord: 76
Gen 347 | Mejor Score: 71 | Récord: 76
Gen 348 | Mejor Score: 49 | Récord: 76
Gen 349 | Mejor Score: 72 | Récord: 76
Gen 350 | Mejor Score: 61 | Récord: 76
Gen 351 | Mejor Score: 72 | Récord: 76
Gen 352 | Mejor Score: 82 | Récord: 82
Gen 353 | Mejor Score: 90 | Récord: 90
Gen 354 | Mejor Score: 77 | Récord: 90
Gen 355 | Mejor Score: 76 | Récord: 90
Gen 356 | Mejor Score: 75 | Récord: 90
Gen 357 | Mejor Score: 94 | Récord: 94
Gen 358 | Mejor Score: 88 | Récord: 94
Gen 359 | Mejor Score: 78 | Récord: 94
Gen 360 | Mejor Score: 77 | Récord: 94
Gen 361 | Mejor Score: 85 | Récord: 94
Gen 362 | Mejor Score: 57 | Récord: 94
Gen 363 | Mejor Score: 80 | Récord: 94
Gen 364 | Mejor Score: 69 | Récord: 94
Gen 365 | Mejor Score: 101 | Récord: 101
Gen 366 | Mejor Score: 78 | Récord: 101
Gen 367 | Mejor Score: 90 | Récord: 101
Gen 368 | Mejor Score: 72 | Récord: 101
